DOB,Username,Money Available,Last Name,Password,Role,ID,First Name,Flights Purchased,MinerAirlines Membership
5/1/01,bellaquintero,1822.19,Quintero,Fun!23,Employee,65,Bella,0,TRUE
2/11/02,jorgerodriguezortega,1063.4,RodriguezOrtega,Fun!23,Employee,72,Jorge,0,TRUE
5/7/02,scarlion,1058.68,Lion,Fun!23,Customer,23,Scar,0,FALSE
1/10/04,brianrodilesdelgado,1789.57,RodilesDelgado,Fun!23,Employee,70,Brian,0,FALSE
5/4/04,kaadisney,1796.31,Disney,Fun!23,Customer,28,Kaa,0,TRUE
7/16/05,jessicabarragan,333.03,Barragan,Fun!23,Employee,45,Jessica,0,FALSE
12/7/07,jose luisrojas,3180.36,Rojas,Fun!23,Employee,73,Jose Luis,0,FALSE
1/30/10,plutodisney,1834.69,Disney,Fun!23,Customer,5,Pluto,0,TRUE
1/3/11,andressoto,421.87,Soto,Fun!23,Employee,81,Andres,0,TRUE
8/18/11,goofydisney,211.94,Disney,Fun!23,Customer,4,Goofy,0,FALSE
1/10/17,sariyahrussell,1172.75,Russell,Fun!23,Employee,76,Sariyah,0,TRUE
11/6/17,akinyemiakinjayeju,420.88,Akinjayeju,Fun!23,Employee,43,Akinyemi,0,TRUE
11/11/18,pinocchiodisney,2375.93,Disney,Fun!23,Customer,30,Pinocchio,0,TRUE
3/10/19,geoffwaller,2861.41,Waller,Fun!23,Employee,88,Geoff,0,TRUE
4/10/19,luisdel campo,1129.55,Del Campo,Fun!23,Employee,49,Luis,0,FALSE
5/21/19,albertovillegas,3215.68,Villegas,Fun!23,Employee,87,Alberto,0,TRUE
3/13/20,simbadisney,1483.96,Disney,Fun!23,Customer,12,Simba,0,FALSE
6/8/23,belledisney,3005.86,Disney,Fun!23,Customer,21,Belle,0,FALSE
1/4/26,bryanarriaga,3022.64,Arriaga,Fun!23,Employee,44,Bryan,0,FALSE
4/13/26,jeffreywalls,716.21,Walls,Fun!23,Employee,89,Jeffrey,0,TRUE
4/2/28,sherekhan,1876.97,Khan,Fun!23,Customer,26,Shere,0,TRUE
5/16/29,enriquerico,212.6,Rico,Fun!23,Employee,67,Enrique,0,TRUE
11/22/35,alondragonzalezayala,3027.53,GonzalezAyala,Fun!23,Employee,53,Alondra,0,FALSE
3/24/36,dianagarcia,2980.24,Garcia,Fun!23,Employee,41,Diana,0,FALSE
7/31/36,peterpan,1486.48,Pan,Fun!23,Customer,15,Peter,0,FALSE
8/21/36,jasmincuevas,2376.31,Cuevas,Fun!23,Employee,48,Jasmin,0,TRUE
12/26/36,arieldisney,1448.41,Disney,Fun!23,Customer,9,Ariel,0,TRUE
3/13/37,aladdindisney,1714.49,Disney,Fun!23,Customer,11,Aladdin,0,FALSE
3/9/40,franciscovazquez,2154.95,Vazquez,Fun!23,Employee,85,Francisco,0,FALSE
9/16/40,gabrielterrazas,706.45,Terrazas,Fun!23,Employee,82,Gabriel,0,FALSE
8/15/43,miguellucero,2730.85,Lucero,Fun!23,Employee,58,Miguel,0,FALSE
10/2/44,herculesdisney,1191.73,Disney,Fun!23,Customer,33,Hercules,0,TRUE
5/11/45,danielmejia,849.1,Mejia,Fun!23,Employee,37,Daniel,0,FALSE
6/1/45,denisseloyavillalobos,888.39,LoyaVillalobos,Fun!23,Employee,57,Denisse,0,FALSE
5/29/46,isabellagaytan,295.53,Gaytan,Fun!23,Employee,40,Isabella,0,TRUE
4/28/47,quasimododisney,1632.06,Disney,Fun!23,Customer,32,Quasimodo,0,FALSE
5/23/47,christinavaltierra,1410.02,Valtierra,Fun!23,Employee,84,Christina,0,FALSE
7/25/47,ianrybak,595.27,Rybak,Fun!23,Employee,77,Ian,0,FALSE
2/1/48,jasminedisney,354.94,Disney,Fun!23,Customer,10,Jasmine,0,FALSE
7/18/48,emiliarivas,438.71,Rivas,Fun!23,Employee,68,Emilia,0,TRUE
12/28/48,urselamermaid,2191.42,Mermaid,Fun!23,Customer,19,Ursela,0,TRUE
2/3/49,mulandisney,637.76,Disney,Fun!23,Customer,34,Mulan,0,FALSE
6/18/50,ashleymagallanes,1826.15,Magallanes,Fun!23,Employee,60,Ashley,0,TRUE
1/3/51,garabdorji,2705.62,Dorji,Fun!23,Employee,50,Garab,0,TRUE
6/16/51,eduardoromero,488.3,Romero,Fun!23,Employee,74,Eduardo,0,TRUE
6/7/53,andreavillagomez,371.26,Villagomez,Fun!23,Employee,86,Andrea,0,TRUE
3/2/55,beastdisney,1934.08,Disney,Fun!23,Customer,20,Beast,0,TRUE
7/22/55,daniellucio,2070.07,Lucio,Fun!23,Employee,59,Daniel,0,TRUE
8/14/56,jafaraladdin,3160.85,Aladdin,Fun!23,Customer,18,Jafar,0,FALSE
1/2/58,luissanchez,2246.94,Sanchez,Fun!23,Employee,78,Luis,0,TRUE
5/20/58,auroradisney,1995.74,Disney,Fun!23,Customer,14,Aurora,0,TRUE
8/20/59,gustavorubio,3349.44,Rubio,Fun!23,Employee,75,Gustavo,0,TRUE
11/14/59,mayrarobles,3360.42,Robles,Fun!23,Employee,69,Mayra,0,FALSE
7/22/60,santiagoolivas,2390.35,Olivas,Fun!23,Employee,64,Santiago,0,FALSE
5/20/61,ashleygilmore,2491.24,Gilmore,Fun!23,Employee,38,Ashley,0,TRUE
1/17/62,woodydisney,1254.33,Disney,Fun!23,Customer,16,Woody,0,FALSE
10/19/62,daledisney,3013.37,Disney,Fun!23,Customer,7,Dale,0,TRUE
1/7/64,enriquemunoz,718.32,Munoz,Fun!23,Employee,62,Enrique,0,FALSE
1/14/65,mufassadisney,261.4,Disney,Fun!23,Customer,13,Mufassa,0,FALSE
7/19/65,ianislas,2565.3,Islas,Fun!23,Employee,55,Ian,0,FALSE
12/1/65,gastondisney,548.11,Disney,Fun!23,Customer,25,Gaston,0,TRUE
9/22/68,leilamartinez,3318.18,Martinez,Fun!23,Employee,61,Leila,0,FALSE
10/18/69,chipdisney,1801.27,Disney,Fun!23,Customer,6,Chip,0,FALSE
1/23/71,joseespinoza gonzalez,2752.51,Espinoza Gonzalez,Fun!23,Employee,52,Jose,0,TRUE
8/22/71,sethrodriguez,1010.31,Rodriguez,Fun!23,Employee,71,Seth,0,FALSE
5/5/72,michaelsantoyo,1374.04,Santoyo,Fun!23,Employee,79,Michael,0,TRUE
6/25/72,victorlopez,2664.04,Lopez,Fun!23,Employee,56,Victor,0,TRUE
